UNTERNEHMEN;STRASSE;PLZ;ORT;GUETERVERKEHR;PERSONENVERKEHR
MEG Märkische Eisenbahngesellschaft mit beschränkter Haftung;Wehberger Straße 80;58507;Lüdenscheid;Ja;Nein
METRANS Rail (Deutschland) GmbH;Grimmaische Straße 13 - 15;04109;Leipzig;Ja;Ja
metronom Eisenbahngesellschaft mbH;St. Viti-Straße 15;29525;Uelzen;Nein;Ja
MEV Eisenbahn Verkehrsgesellschaft mbH;Walter-Krause-Straße 11;68163;Mannheim;Ja;Ja
MHEL Müchelner Hoch-, Erd- und Leitungsbau GmbH;Obere Freyburger Straße 23;D- 06249;Mücheln (Geiseltal);Ja;Nein
Mindener Kreisbahnen GmbH;Karlstraße 48;32423;Minden;Ja;Ja
Mitteldeutsche Eisenbahn GmbH (MEG);Bau A 103 bei Dow Olefinverbund GmbH;06258;Schkopau;Ja;Ja
Mittelfränkische Eisenbahnbetriebs GmbH;Hindenburgstraße 11;91555;Feuchtwangen;Ja;Ja
Mittelweserbahn GmbH;Bahnhofstraße 67;27404;Zeven;Ja;Ja
MM Railservice GmbH;Entenfangweg 7 - 9;30419;Hannover;Ja;Ja
MSM Gruppe Inh. Niko Maedge e.K.;Kolumbastraße 5;50667;Köln;Nein;Ja
Muldental-Eisenbahnverkehrsgesellschaft mbH (MTEG);Herschelstraße 13;08060;Zwickau;Ja;Ja
Museumsbahn Schönheide e.V. (Gemeindeverwaltung Schönheide);Hauptstraße 43;08304;Schönheide;Ja;Ja
Museumseisenbahn Hamm e. V.;Schumannstraße 35;59065;Hamm;Ja;Ja
Museums-Eisenbahn-Club Losheim (MECL);Streifstraße 3;66679;Losheim am See;Ja;Ja
Museums-Eisenbahn-Gemeinschaft Wachtl e. V.;Am Rain 60;83088;Kiefersfelden;Nein;Ja
MV Mannheimer Verkehr GmbH;Möhlstraße 27;68165;Mannheim;Nein;Nein
MZ Eisenbahndienstleistungen GmbH;Klosterhöhe 3;56479;Seck;Ja;Ja
National Express Rail GmbH;Johannisstr. 60-64;50668;Köln;Nein;Ja
NBE nordbahn Eisenbahngesellschaft mbH & Co. KG;Rudolf-Diesel-Straße 2;24568;Kaltenkirchen;Ja;Ja
NBS Niederlausitzer Bahnservice GmbH;Gerhart-Hauptmann-Straße 15/Süd 19;03044;Cottbus;Ja;Nein
NEB Betriebsgesellschaft mbH;Mühlenbecker Damm 67a;16348;Wandlitz OT Basdorf;Nein;Ja
neg Süderau Betriebs GmbH;Bahnhofstraße 6;25899;Niebüll;Ja;Ja
NeSA Eisenbahn- Betriebsgesellschaft Neckar-Schwarzwald-Alb mbH;Bahnhof 10/1;78628;Rottweil;Ja;Ja
Netzwerkbahn Sachsen GmbH;Ostra-Allee 35;01067;Dresden;Ja;Ja
Neukölln-Mittenwalder Eisenbahn-Gesellschaft Aktiengesellschaft in Berlin;Gottlieb-Dunkel-Straße 47/48;12099;Berlin;Ja;Ja
Niederlausitzer Museumseisenbahn e.V.;Holsteiner Straße 37;03238;Finsterwalde;Nein;Ja
Niederrheinbahn GmbH;Am Rathaus 2;47475;Kamp Lintfort;Nein;Nein
Niederrheinische Verkehrsbetriebe Aktiengesellschaft NIAG;Rheinberger Str. 95 a;47441;Moers;Ja;Ja
Norddeutsche Eisenbahn Niebüll GmbH;Bahnhofstraße 6;25899;;Ja;Ja
Norddeutsche Naturstein Rail GmbH;Altenhäuser Str. 41;39345;Flechtingen;Nein;Nein
Nordic Rail Service GmbH;Zum Hafenplatz 1;23570;Lübeck;Ja;Nein
Nordlandrail GmbH;Barkholt 41;22927;Großhansdorf;Ja;Ja
Nordliner Gesellschaft für Eisenbahnverkehr mbH;Lützerodestraße 10;30161;Hannover;Ja;Ja
Nord-Ostsee-Bahn GmbH;Rödemisfeld 2 a;25813;Husum;Ja;Ja
NordWestBahn GmbH;Franz-Lenz-Straße 5;49084;Osnabrück;Ja;Ja
Nordzucker AG;Küchenstraße 9;38100;Braunschweig;Nein;Nein
Nossen-Riesaer Eisenbahn-Compagnie GmbH;Bismarckstraße 21;01683;Nossen;Nein;Nein
N1 Rail Services Süd GmbH;Hoffmannallee 55;47533;Kleve;Ja;Ja
ÖBB Personenverkehr AG;Am Hauptzbahnhof 2;A-1100;Wien;Nein;Ja
Öchsle-Bahn AG;Postfach 16 62;88396;Biberach/ Riss;Nein;Nein
Öchsle-Bahn Betriebs gGmbH;Obere Stegwiesen 11;88447;Warthausen;Nein;Ja
ODEG Ostdeutsche Eisenbahn GmbH;Bahnhof 1;19370;Parchim;Ja;Ja
Oiltanking Deutschland GmbH & Co.KG;Admiralitätsstraße 55;20459;Hamburg;Ja;Nein
Oiltanking Tanklager Waltershof GmbH & Co.KG;Am Jachthafen 5;21129;Hamburg;Ja;Nein
Parkeisenbahn Chemnitz gGmbH;Küchenwaldring 24;09113;Chemnitz;Nein;Nein
Parkeisenbahn Syratal;Hainstr. 10;08523;Plauen;Nein;Nein
Pfalzbahn Eisenbahnbetriebsgesellschaft mbH;Dürkheimer Straße 109;67227;Frankenthal;Ja;Ja
PKP Cargo S.A.;Ul. Grojecka 17;PL-02021;Warschau;Ja;Nein
Planungs- und Entwicklungsgesellschaft Güterverkehrszentrum Emscher mbH;Am Westhafen 27;44653;Herne;Nein;Nein
Power Rail GmbH;Apfelstieg 27;39116;Magdeburg;Ja;Ja
Prefere Resins Germany GmbH;Dr.-Hans-Lebach-Straße 7;15537;Erkner;Ja;Nein
Prignitzer Eisenbahn GmbH (PEG);Wallstraße 65;10179;Berlin;Ja;Ja
Prignitzer Kleinbahnmuseum Lindenberg e.V.;Lindenberg 7;16928;Groß Pankow;Nein;Ja
Prolok GmbH;Waldweg 1;15913;Straupitz;Ja;Nein
Rail Cargo Austria AG;Am Hauptbahnhof 2;A-1100;Wien;Ja;Nein
Rail Cargo Carrier - Germany GmbH vormals Rail Cargo Carrier - PCT GmbH;Nürnberger Straße 34;85055;Ingolstadt;Ja;Ja
Rail Force One Germany GmbH;Theodorstraße 105;40472;Düsseldorf;Ja;Nein
Rail Logistic 24 GmbH;Bahnhofstraße 34a;39576;Stendal;Ja;Nein
RailAdventure GmbH;Blutenburgstr. 37;80636;München;Ja;Ja
Raildox GmbH & Co. KG;Zum Güterbahnhof 7;99085;Erfurt;Ja;Ja
Railflex GmbH;Borsigstraße 1;40880;Ratingen;Ja;Ja
Railpool Lokservice GmbH & Co. KG;Grusonstraße 46;20459;Hamburg;Ja;Nein
Railsystems RP GmbH;Südstraße 2b;99867;Gotha;Ja;Nein
Railtrans International, a.s.;Kukucinová 22;SK-83103;Bratislava;Ja;Nein
Railtraxx NV;Rijnkaai 100 bus A13;B-2000;Antwerpen;Ja;Nein
Rail4Captrain GmbH;Georgenstraße 22;10117;Berlin;Ja;Nein
RBH Logistics GmbH;Talstraße 12;45966;Gladbeck;Ja;Nein
RBP-Rheinische Bahnpersonal- und Verkehrsgesellschaft mbH;Am Brauhof 1;53721;Siegburg;Ja;Nein
RDC Autozug Sylt GmbH;Industrieweg 16;25980;Sylt;Ja;Ja
RDC Deutschland GmbH;Altonaer Poststraße 9;22767;Hamburg;Ja;Ja
Regio Infra GmbH & Co. KG;Pritzwalker Straße 8;16949;Putlitz;Nein;Nein
Regio Infra Nord-Ost GmbH & Co. KG;Pritzwalker Straße 8;16949;Putlitz;Nein;Nein
Regiobahn Bitterfeld Berlin GmbH;Straße am Landgraben 5;06749;Bitterfeld-Wolfen;Ja;Ja
Regionalbahn Kassel GmbH (RBK);Wilhelmshöher Allee 252;34119;Kassel;Nein;Ja
Regionale Bahngesellschaft Kaarst-Neuss-Düsseldorf-Erkrath-Mettmann-Wuppertal mbH;An der Regiobahn 15;40822;Mettmann;Nein;Nein
Regionalverkehr Münsterland GmbH;Krögerweg 11;48155;Münster;Ja;Nein
Regionalverkehr Ruhr-Lippe GmbH;Am Bahnhof 10;59494;Soest;Ja;Nein
Regionalverkehre Start Deutschland GmbH;Hahnstraße 40;60528;Frankfurt am Main;Nein;Ja
RegioTram Gesellschaft mbH;Wilhelmshöher Allee 252;34119;Kassel;Nein;Ja
Rennsteigbahn GmbH & Co. KG;Rennsteig 3;98528;Suhl OT Schmiedefeld;Ja;Ja
Retrack Germany GmbH;Nagelsweg 34;20097;Hamburg;Ja;Nein
Reuschling Bahnservice und Sondermaschinenbau GmbH;Eickenerstraße 45;45525;Hattingen;Ja;Ja
RheinCargo GmbH & Co. KG;Hammer Landstraße 3;41460;Neuss;Ja;Nein
Rhein-Neckar-Verkehr GmbH;Möhlstraße 27;68165;Mannheim;Nein;Ja
Rhein-Sieg-Verkehrsgesellschaft mbH;Steinstraße 31;53844;Troisdorf;Ja;Ja
Rhenus Rail St. Ingbert GmbH;Kaiserstraße 170-174;66386;St. Ingbert;Ja;Ja
Rhomberg Bahntechnik GmbH;Mariahilfstraße 29;A-6900;Bregenz;Ja;Nein
Rhomberg Sersa Deutschland - Ost GmbH;Gross-Berliner-Damm 88;12487;Berlin;Ja;Nein
Road & Rail Service e.K.;Hertzstrasse 9;06449;Aschersleben;Ja;Nein
Rostocker Straßenbahn AG;Hamburger Straße 115;18069;Rostock;Ja;Ja
Rotterdam Rail Feeding B. V.;Postfach 54245;NL-3008 JE;Rotterdam;Ja;Nein
RP Eisenbahn GmbH;Schwetzinger Straße 2;67157;Wachenheim;Ja;Ja
RSE Rhein-Sieg-Eisenbahn GmbH;Königswinterer Str. 52;53227;Bonn;Ja;Ja
RST Rangier-Service und Transportgesellschaft mbH;Am Güterbahnhof 11;66386;St. Ingbert;Ja;Nein
RTB Cargo GmbH;Kölner Landstraße 271;52351;Düren;Ja;Nein
RTS Rail Transport Service GmbH;Puchstrasse 184b;A- 8055;Graz;Ja;Nein
RTW Planungsgesellschaft mbH;Stiftstraße 9-17;60313;Frankfurt am Main;Nein;Nein
Ruhrbahn Mülheim GmbH;Duisburger Straße 78;45479;Mülheim an der Ruhr;Ja;Nein
Rund ums Gleis GmbH;Großenhainer Straße 83;01127;Dresden;Ja;Nein
Rurtalbahn GmbH;Kölner Landstraße 271;52351;Düren;Ja;Ja
Saar Rail GmbH;Bismarckstraße 57-59;66333;Völklingen;Ja;Nein
Saarbahn GmbH;Hohenzollernstraße 104-106;66117;Saarbrücken;Nein;Ja
SAB Schwäbische Alb-Bahn GmbH;Bahnhofstraße 8;72525;Münsingen;Ja;Ja
Sächsischer Museumseisenbahn Verein Windbergbahn e. V.;Hermann-Michel-Straße 5;01189;Dresden;Nein;Nein
Sächsisch-Oberlausitzer Eisenbahngesellschaft mbH (SOEG);Bahnhofstraße 41;02763;Zittau;Ja;Ja
Salzburg AG für Energie, Verkehr u. Telekommunikation;Plainstraße 70;A-5020;Salzburg;Ja;Ja
Salzland Rail Service GmbH;Hegestr. 10;06406;Bernburg;Ja;Ja
S-Bahn Berlin GmbH;Elisabeth-Schwarzhaupt-Platz 1;10115;Berlin;Ja;Ja
S-Bahn Hamburg GmbH;Hammerbrookstraße 44;20097;Hamburg;Nein;Ja
SBB AG Schweizerische Bundesbahnen Personenverkehr;Wylerstr. 123 / 125;CH - 3000;Bern 65;Nein;Ja
SBB Cargo Deutschland GmbH;Mercatorstraße 1 a+b;47051;Duisburg;Ja;Nein
SBB GmbH;Hafenstrasse 10;78462;Konstanz;Nein;Ja
Scharmützelseebahn GmbH;An den Wulzen 23;15806;Zossen;Nein;Nein
Schienenverkehrsgesellschaft mbH (SVG);Marienbaderstraße 48;70372;Stuttgart;Ja;Ja
Schiffahrt der Inselgemeinde Langeoog (Inselbahn);Hauptstr. 28;26465;Langeoog;Ja;Ja
Schlösser und Gärten in Dresden -Dresdner Parkeisenbahn-;Hauptallee 5;01219;Dresden;Nein;Nein
Schwäbische-Wald-Bahn GmbH;Kirchplatz 3;73642;Welzheim;Nein;Nein
Schwalbe Baugesellschaft mbH & Co. KG;Industriestraße 16;24211;Preetz;Ja;Nein
Schweerbau Logistik GmbH;Industriestraße 6;31655;Stadthagen;Ja;Nein
Schweizerische Bundesbahnen SBB, Infrastruktur;Hilfikerstraße 3;CH 3000;Bern 65;Nein;Nein
SDG Sächsische Dampfeisenbahngesellschaft mbH;Geyersdorfer Str. 32;09456;Annaberg-Buchholz;Ja;Ja
Seehafen Kiel GmbH & Co. KG;Schwedenkai 1;24103;Kiel;Ja;Nein
SES Aus- und Fortbildung e. K.;Handwerkerallee 18;25358;Horst;Ja;Nein
SGL Schienen Güter Logistik GmbH;Fraunhoferstraße 9;85221;Dachau;Ja;Ja
Siemens Mobility GmbH;Otto-Hahn-Ring 6;81739;München;Ja;Ja
SInON Schieneninfrastruktur Ost-Niedersachsen GmbH;Biermannstraße 33;29221;Celle;Nein;Nein
SKL Umschlagservice Magdeburg GmbH & Co. KG;Alt Salbke 6-10;39122;Magdeburg;Ja;Nein
SLG Spitzke Logistik GmbH;Märkische Allee 39/41;14979;Großbeeren;Ja;Nein
smart rail GmbH;Sterntalerstraße 19;D-81739;München;Ja;Ja
SNCF Voyages Deutschland GmbH;Georgenstraße 22;10117;Berlin;Ja;Ja
Spitzke SE;Märkische Allee 39/41;14979;Großbeeren;Ja;Nein
SPL EisenbahnVerkehr GmbH;Bernauer Straße 13;D - 16515;Oranienburg;Ja;Nein
S-Rail GmbH;Münchner Straße 67;83395;Freilassing;Ja;Nein
Stadt Arneburg;Osterburger Straße 1;39596;Arneburg/ Elbe;Nein;Nein
Stadt Bitburg;Rathausplatz 3 - 4;54634;Bitburg;Nein;Nein
Stadt Frankfurt (Oder), Amt für Wirtschaftsförderung und Investitionen;Postfach 1363;15203;Frankfurt (Oder);Nein;Nein
Stadt Hohnstein;Rathausstraße 10;01848;Hohnstein;Nein;Nein
Stadt Jöhstadt  -Preßnitztalbahn-;Markt 185;09475;Jöhstadt;Ja;Ja
Stadt Pfullendorf Regionale öffentliche Bahn;Postfach 1280;88618;Pfullendorf;Nein;Nein
Stadt Wasserburg am Inn;Postfach 1680;83506;Wasserburg am Inn;Nein;Nein
Stadt Wittenberge;August-Bebel-Straße 10;19322;Wittenberge;Nein;Nein
Stadtbahn Saar GmbH;Hohenzollernstraße 104-106;66117;Saarbrücken;Nein;Nein
Stadtverwaltung Bad Wurzach;Postfach 12 80;88405;Bad Wurzach;Nein;Nein
Stadtverwaltung Zülpich;Postfach 13 54;53905;Zülpich;Nein;Nein
Stadtwerke Bonn Verkehrs-GmbH (SWBV);Sandkaule 2;53111;Bonn;Nein;Ja
Stadtwerke Trossingen GmbH;Christian-Messner-Straße 2-6;78647;Trossingen;Nein;Ja
Stadtwerke Verkehrsgesellschaft Frankfurt am Main mbH;Kurt-Schumacher-Straße 8;60311;Frankfurt am Main;Nein;Ja
Stahlwerk Thüringen GmbH;Kronacher Straße 6;07333;Unterwellenborn;Ja;Nein
Starkenberger Güterlogistik GmbH;Gewerbegebiet 1;04617;Starkenberg;Ja;Nein
Stauden-Verkehrs-GmbH (SVG);Firnhaberstraße 22d;86159;Augsburg;Ja;Ja
STAV GmbH;Bahnhofstraße 10a;04895;Falkenberg/Elster;Ja;Ja
Stefen GmbH & Co. KG;Schmiedeweg 7+9;26135;Oldenburg;Ja;Nein
Stiftung Museumsbahn SEHR & RS;Rathaus;CH-8260;Stein am Rhein;Nein;Nein
Stock-Transport- eK. Inh. Michael Stock;Mainzer Straße 102;55294;Bodenheim;Ja;Nein
Süd-Thüringen-Bahn GmbH (STB);Am Rasenrain 16;99086;Erfurt;Nein;Ja
SWEG Schienenwege GmbH;Hugo-Eckener-Straße 1;77933;Lahr;Nein;Nein
SWEG Südwestdeutsche Landesverkehrs-GmbH;Rheinstraße 8;77933;Lahr;Ja;Ja
SWU Verkehr GmbH;Karlstraße 1-3;89073;Ulm;Nein;Nein
Talbahn GmbH;Mühlenstr. 38;58285;Gevelsberg;Nein;Nein
Tegernsee-Bahn Betriebsgesellschaft mbH;Bahnhofsplatz 5;83684;Tegernsee;Ja;Ja
tenforty2-Rail GmbH;Südliche Münchner Straße 55;82031;Grünwald;Ja;Ja
Teutoburger Wald Eisenbahn GmbH;Am Grubenhof 2;33330;Gütersloh;Nein;Nein
TME Torsten Meincke Eisenbahn GmbH;Ludwigsluster Chaussee 72;19061;Schwerin;Nein;Nein
Torsten Ratke Officeconsult;Bahnhofstraße 6;03238;Finsterwalde;Nein;Nein
Tourismus und Warnetalbahn GmbH;Oderwaldstraße 9;38312;Groß Flöthe;Ja;Ja
Touristenbahnen im Rheinland GmbH (TBR);Am Bahnhof 13a;52538;Gangelt;Ja;Ja
Touristik Eisenbahn Ruhrgebiet GmbH (TER);Kronprinzenstr. 35;45128;Essen;Nein;Nein
Touristik-Eisenbahn Lüneburger Heide GmbH;Lüner Damm 26;21337;Lüneburg;Nein;Ja
Traditionsbahn Radebeul e.V.;Am Alten Güterboden 4 k;01445;Radebeul;Nein;Ja
Traditionsverein Kleinbahn des Kreises Jerichow I e.V.;Forststraße 6;39291;Magdeburgerforth;Ja;Ja
Trainlog GmbH;Lingenfelder Straße 1;76726;Germersheim;Ja;Ja
Train4Train GmbH;Am Rebstock 4;37619;Bodenwerder;Ja;Ja
trans regio Deutsche Regionalbahn GmbH;Beatusstraße 136;56073;Koblenz;Ja;Ja
TRANSCHEM Sp. z o. o.;ul. Torunska 153;PL-80-810;Wloclawek;Ja;Nein
Transdev Bahn GmbH;Georgenstraße 22;10117;Berlin;Nein;Ja
Transdev Hannover GmbH;Kriegerstraße 1D;30161;Hannover;Nein;Ja
Transdev Instandhaltung GmbH;Rödemisfeld 2a;25813;Husum;Ja;Ja
Transdev Mitteldeutschland GmbH;Bahnhofstraße 5;09111;Chemnitz;Nein;Ja
Transdev Regio Ost GmbH;Wintergartenstr. 12;04103;Leipzig;Ja;Ja
Transdev Verkehr GmbH;Bethanienstraße 1;47441;Moers;Ja;Ja
TRI Train Rental GmbH;Im Zentrum 8;90542;Eckental;Ja;Ja
Triangula Logistik GmbH;Straße der Einheit 174;09423;Gelenau;Ja;Ja
twentyone GmbH;Hasenauerstraße 25/1;A-1180;Wien;Ja;Ja
TX Logistik AG;Junkersring 33;53844;Troisdorf;Ja;Nein
U E F Eisenbahnverkehrsgesellschaft mit beschränkter Haftung;Zehntwiesenstraße 31 c;76275;Ettlingen;Ja;Ja
UBB Usedomer Bäderbahn GmbH;Am Bahnhof 1;17424;Seebad Heringsdorf;Ja;Ja
UED Uckermärkische Eisenbahn Dienstleistungs GmbH;Brüssower Allee 90;17291;Prenzlau;Ja;Ja
Ulrich Joh. Evers GmbH & Co Kommanditgesellschaft Gesellschaft für Landschafts- und Umweltpflege;Industriestraße 11 A;26831;Bunde;Ja;Nein
UTL Umwelt- und Transportlogistik GmbH;August-Ruf-Straße 8;78224;Singen;Ja;Ja
Uwe Adam EVU GmbH;Auestraße 10b;99817;Eisenach;Ja;Nein
Verden-Walsroder Eisenbahn GmbH;Moorstraße 2a;27283;Verden;Ja;Ja
Verein Parkeisenbahn Auensee e. V.;Gustav-Esche-Str. 8;04159;Leipzig;Nein;Nein
Verein Sächsischer Eisenbahnfreunde e. V. (VSE);Schneeberger Straße 60;08340;Schwarzenberg;Ja;Ja
Verkehrsbetriebe Extertal - Extertalbahn GmbH;Am Bahnhof 1;32699;Extertal;Ja;Ja
Verkehrsbetriebe Grafschaft Hoya GmbH;Am Bahnhof 1;27318;Hoya;Ja;Ja
Verkehrsbetriebe Kreis Plön GmbH;Diederichstraße 5;24143;Kiel;Nein;Nein
Verkehrsbetriebe Peine - Salzgitter GmbH;Am Hillenholz 28;38229;Salzgitter;Ja;Ja
Verkehrsgesellschaft Norderstedt mbH (VGN);Heidbergstraße 101-111;22846;Norderstedt;Nein;Ja
Verkehrshistorische Arbeitsgemeinschaft der Dortmunder Stadtwerke e.V. (VhAG DSW e.V.);Mooskamp 23;44359;Dortmund;Nein;Ja
Vetter GmbH Busunternehmen;Hinsdorfer Weg 1;06779;Salzfurtkapelle;Ja;Ja
VGT Vorbereitungsgesellschaft Transporttechnik mbH;Linke-Hoffmann-Busch-Straße 1;38239;Salzgitter;Ja;Ja
VIAS GmbH;Gebäude-Nr. 5401 Stroofstraße 27;65933;Frankfurt am Main;Ja;Ja
VIAS Rail GmbH;Kölner Landstraße 271;52351;Düren;Nein;Ja
vlexx GmbH;Mombacher Straße 36;55122;Mainz;Ja;Ja
VLO Bahn GmbH;Bremer Straße 11;49163;Bohmte;Ja;Ja
VLO Verkehrsgesellschaft Landkreis Osnabrück GmbH;Bremer Straße 11;49163;Bohmte;Ja;Ja
Voestalpin Draht Finsterwalde GmbH;Grenzstraße 45;03238;Finsterwalde;Nein;Nein
Vossloh Rail Center GmbH;Hannoversche Straße 10;21079;Hamburg;Ja;Nein
VPS Infrastruktur GmbH;Am Hillenholz 28;38229;Salzgitter;Nein;Nein
VTG Rail Logistics Deutschland GmbH;Nagelsweg 34;20097;Hamburg;Ja;Ja
Vulkan-Eifel-Bahn Betriebsgesellschaft mbH;Kasselburger Weg 16;54568;Gerolstein;Ja;Ja
VVM Museumsbahn Betriebsgesellschaft mbH;Am Schierbek 1;24217;Schönberg;Ja;Ja
Walser Eisenbahn GmbH;Alser Straße 37/20;A-1080;Wien;Ja;Ja
Wendelsteinbahn GmbH;Kerschelweg 30;83098;Brannenburg;Ja;Ja
Werra Eisenbahnverkehrsgesellschaft mbH;Planstraße A;36460;Krayenberggemeinde OT Merkers-Kieselbach;Ja;Ja
Weser Ems Eisenbahn GmbH (WEE);Lindenstraße 2;49393;Lohne;Ja;Ja
Weserbahn GmbH;Flughafendamm 12;28199;Bremen;Ja;Ja
Westbahn GmbH;Zur Werksbahn 2;41569;Rommerskirchen;Ja;Ja
WESTbahn Management GmbH;Europaplatz 3/Stiege 5;A-1150;Wien;Nein;Ja
Westerwaldbahn GmbH;Rosenheimer Straße 1;57520;Steinebach;Ja;Ja
WestfalenBahn GmbH;Zimmerstraße 8;33602;Bielefeld;Ja;Ja
Westmecklenburgische Eisenbahngesellschaft mbH (WEMEG);Zum Bahnhof 3;19243;Wittenburg;Ja;Ja
WestVerkehr GmbH;Geilenkirchener Kreisbahn 1;52501;Geilenkirchen;Ja;Ja
WFL Wedler Franz Logistik GmbH & Co. KG;Verkehrshof 3;14478;Potsdam;Ja;Ja
WHE Wanne-Herner Eisenbahn und Hafen GmbH;Am Westhafen 27;44653;Herne;Ja;Nein
Wiener Lokalbahnen Cargo GmbH;Freudenauer Hafenstraße 8-10;A-1020;Wien;Ja;Nein
Willke Logistics GmbH;Schwarzer Weg 11;19288;Ludwigslust;Ja;Nein
WLE Westfälische Landes-Eisenbahn GmbH;Beckumer Straße 70;59555;Lippstadt;Ja;Ja
WRS Widmer Rail Services AG;Burgstrasse 14;CH- 8750;Glarus;Ja;Ja
Württembergische Eisenbahn-Gesellschaft mbH;Seewiesenstraße 19;71334;Waiblingen;Ja;Ja
Zörbiger Infrastrukturgesellschaft mbH (ZIG);Markt 12;06780;Zörbig;Nein;Nein
ZossenRail Betriebsgesellschaft mbH;An den Wulzen 23;15806;Zossen;Nein;Nein
Zug-Pilot GmbH;Heegbarg 17;22391;Hamburg;Ja;Ja
Zuid-Limburgse Stoomtrein Maatschappij;Postbus 21071;NL 6369 ZH;Simpelfeld/NL;Nein;Nein
Zürcher Bau GmbH;Robert-Zürcher-Straße 1-6;77974;Meißenheim;Ja;Nein
Zweckverband Brandenburgisches Museum für Klein- und Privatbahnen;Am Bahnhof 3;17291;Gramzow;Nein;Ja
Zweckverband Fränkisches Freilandmuseum Fladungen;Silcherstraße 5;97074;Würzburg;Nein;Ja
Zweckverband Kandertalbahn;Waldeckstraße 39;79400;Kandern;Ja;Ja
Zweckverband ÖPNV im Ammertal;Wilhelm-Keil-Straße 50;72072;Tübingen;Nein;Ja
Zweckverband Ringzug Schwarzwald-Baar-Heuberg;Eichendorffstraße 24;78166;Donaueschingen;Nein;Ja
Zweckverband Schönbuchbahn (ZÖA);Postfach 16 40;71006;Böblingen;Nein;Nein
Zweckverband Verkehrsverband Wieslauftalbahn;Alter Postplatz 10;71332;Waiblingen;Nein;Nein
