UNTERNEHMEN;STRASSE;PLZ;ORT;GUETERVERKEHR;PERSONENVERKEHR
Brohltal Schmalspureisenbahn Betriebs GmbH;Brohltalstraße;56654;Brohl-Lützing;Ja;Ja
BSAS Eisenbahn Verkehrs GmbH & Co. KG;Niedermülsener Hauptstr. 75;08132;Mülsen;Ja;Ja
BSB - Saugbagger und Zweiwegetechnik Stefan Mattes GmbH & Co. KG";Zu Alten Börse 49;12681;Berlin;Ja;Nein
BTE BahnTouristikExpress GmbH;Fürther Straße 27;90429;Nürnberg;Ja;Ja
BUG Vermietungsgesellschaft mbH;Handwerkerstraße 2;15366;Hoppegarten;Ja;Nein
C + L Consult & Logistik GmbH;Nordhäuser Straße 70;99752;Bleicherode;Ja;Nein
cantus Verkehrsgesellschaft mbH;Königstor 1A;34117;Kassel;Nein;Ja
Captrain Deutschland CargoWest GmbH;Am Grubenhof 2;33330;Gütersloh;Ja;Ja
Cargo Logistik Rail-Service GmbH;Mühlenweg 31b;39179;Barleben OT Ebendorf;Ja;Ja
Cargo Service GmbH;Lunzer Straße 41;A-4031;Linz;Ja;Ja
Cargo-Rail Gesellschaft mit beschränkter Haftung;Werkstraße 1;66763;Dillingen /Saar;Ja;Nein
CD Cargo a.s.;Jankovcova 1569/2c;CZ-170 00;Prag 7;Ja;Ja
Centralbahn GmbH;Kranzstraße 18;41065;Mönchengladbach;Ja;Ja
Certis Europe B.V. Niederlassung Deutschland;Frankenstraße 18b;D-20097;Hamburg;Ja;Ja
CFL Cargo Deutschland GmbH;Lise-Meitner-Straße 15;24941;Flensburg;Ja;Nein
CFL Societe Nationale des Chemins de Fer Luxembourgeois;9 Place de la Gare;L-1616;Luxembourg;Nein;Ja
Chemion Logistik GmbH;Bayer Chemiepark X 6;51368;Leverkusen;Ja;Nein
Chiemsee-Schifffahrt Ludwig Feßler KG;Seestraße 108;83209;Prien;Ja;Ja
City-Bahn Chemnitz GmbH;Bahnhofstraße 1;09111;Chemnitz;Nein;Ja
Crossrail Benelux N.V.;Noordersingel 23;B-2140;Borgerhout;Ja;Nein
CTL Logistics GmbH;Kurfürstenstraße 112-113;10787;Berlin;Ja;Ja
Currenta GmbH & Co. OHG;Gebäude L. 7;51368;Leverkusen;Nein;Nein
D & D Eisenbahngesellschaft mbH;Friedrich-List-Straße 13;19230;Hagenow-Land;Ja;Ja
Dampfbahn Fränkische Schweiz e.V.;Pretzfelderstraße 21;91316;Ebermannstadt;Ja;Ja
Dampfzug-Betriebs-Gemeinschaft e. V.;Chausseestraße 4a;39279;Loburg;Ja;Ja
DB Bahnbau Gruppe GmbH;Am Studio 1 A;12489;Berlin;Ja;Nein
DB Cargo Aktiengesellschaft;Rheinstraße 2;55116;Mainz;Ja;Ja
DB Fahrwegdienste GmbH;Köpenicker Straße 31;10179;Berlin;Ja;Ja
DB Fahrzeuginstandhaltung GmbH;Weilburger Str. 22;60326;Frankfurt am Main;Ja;Ja
DB Fernverkehr Aktiengesellschaft;Europa-Allee 78-84;60486;Frankfurt am Main;Ja;Ja
DB Regio Aktiengesellschaft;Europa-Allee 70 - 76;60486;Frankfurt am Main;Ja;Ja
DB RegioNetz Verkehrs GmbH;Europa-Allee 70-76;60486;Frankfurt am Main;Ja;Ja
DB Station&Service Aktiengesellschaft;Europaplatz 1;10557;Berlin;Nein;Nein
DB ZugBus Regionalverkehr Alb-Bodensee GmbH (RAB);Karlstraße 31-33;89073;Ulm;Nein;Ja
DE Infrastruktur GmbH;Warmbreitbandstr. 2;44145;Dortmund;Nein;Nein
Delmenhorst - Harpstedter Eisenbahn GmbH;Am Bahnhof 3;27243;Harpstedt;Ja;Ja
DeltaRail GmbH;Beeskower Straße 10;15234;Frankfurt (Oder);Ja;Nein
Dessauer Verkehrs- und Eisenbahngesellschaft mbH (DVG);Albrechtstr. 48;06844;Dessau;Ja;Ja
Deutsche Gleisbau Material Transport GmbH;Industriegelände 1;17219;Möllenhagen;Ja;Nein
Deutsche Privatbahn GmbH;Obere Sage;33184;Altenbeken;Ja;Ja
Deutsche Regionaleisenbahn GmbH (DRE);Wilmersdorfer Straße 113/114;10627;Berlin;Nein;Nein
Deutsche Steinkohle AG (DSK);Shamrockring 1;44623;Herne;Nein;Nein
DGEG Bahnen & Reisen Bochum AG;Dr.-C. Otto-Straße 191;44879;Bochum;Nein;Ja
Die Länderbahn GmbH DLB;Bahnhofsplatz 1;94234;Viechtach;Ja;Ja
dispo-Tf Education GmbH;Wolfener Str. 32 - 34;12681;Berlin;Ja;Ja
dispo-Tf Rail GmbH;Wolfener Straße 32 - 34;12681;Berlin;Ja;Ja
Döllnitzbahn GmbH;Bahnhofstraße 2;04769;Mügeln;Ja;Ja
Donnersberg - Touristik - Verband e.V. (DTV);Uhlandstr. 2;67292;Kirchheimbolanden;Nein;Nein
Dortmunder Eisenbahn GmbH;Warmbreitbandstraße 2;44145;Dortmund;Ja;Nein
DRE Bahnverkehr GmbH;Sahlassaner Straße 3;01616;Strehla;Ja;Ja
Dresdner Verkehrsbetriebe AG;Trachenberger Straße 40;01142;Dresden;Ja;Ja
Dresdner Verkehrsservicegesellschaft mbH;Trachenberger Straße 40;01129;Dresden;Ja;Ja
duisport rail GmbH;Aakerfährstr.125;47058;Duisburg;Ja;Nein
DUOmobile GmbH;Sanderstraße 2a;97070;Würzburg;Ja;Ja
EBC Eisenbahnbetriebs- und Consulting GmbH;Obere Sage;33184;Altenbeken;Ja;Ja
EBL GmbH EisenbahnBetriebsLeistungen;Elisabethstraße 10;67227;Frankenthal;Ja;Ja
ecco-rail GmbH;Cottagegasse 43;A- 1180;Wien;Ja;Nein
EfW-Verkehrsgesellschaft mbH;Hauptstraße 15-17;50226;Frechen;Ja;Ja
e.g.o.o. Eisenbahngesellschaft Ostfriesland-Oldenburg mbH;Westfalenstraße 3;26723;Emden;Ja;Ja
EH Güterverkehr GmbH;Franz-Lenze-Straße 15;47166;Duisburg;Ja;Nein
EHB Eisenbahn- und Hafenbetriebsgesellschaft Region Osnabrück mbH;Alte Poststraße 9;49074;Osnabrück;Ja;Nein
Eichholz Eivel GmbH;Bessemerstraße 42b;12103;Berlin;Ja;Ja
Eifelbahn Verkehrsgesellschaft mbH;Rheinhöller 3;53545;Linz am Rhein;Ja;Ja
Eiffage Infra-Rail GmbH;Landgrafenstraße 29;44652;Herne;Ja;Nein
Eiffage Infra-Süd GmbH;Hansastraße 4a;91126;Schwabach;Ja;Ja
Eiffage Infra-West GmbH;Neumühlenallee 32;46325;Borken;Ja;Ja
Eisenbahn-Bau- und Betriebsgesellschaft Pressnitztalbahn mbH;Am Bahnhof 78;09477;Jöhstadt;Ja;Ja
Eisenbahnen und Verkehrsbetriebe Elbe-Weser GmbH;Bahnhofstr. 67;27404;Zeven;Ja;Ja
Eisenbahnfreunde Rodachtalbahn e.V. c/o Ralf Ellinger;Krögelsmühle 1;96365;Nordhalben;Ja;Ja
Eisenbahnfreunde Treysa e. V.;Ulrichsweg 26;34613;Schwalmstadt;Nein;Ja
Eisenbahnfreunde Wetterau e. V.;Postfach 1212;61212;Bad Nauheim;Nein;Ja
Eisenbahngesellschaft Potsdam mbH;Am Bahnhof 5;19322;Wittenberge;Ja;Ja
Eisenbahn-Service-Gesellschaft mbH;Alemannenstraße 19;71665;Vaihingen/Enz;Ja;Ja
Elektrische Bahnen der Stadt Bonn und des Rhein-Sieg-Kreises-SSB-GmbH;Theaterstraße 24;53111;Bonn;Nein;Ja
ELG Eisenbahn-Logistik-Gesellschaft mbH;Kaninenberghöhe 2;45136;Essen;Ja;Nein
Emons Bahntransporte GmbH;Potthoffstraße 7;01159;Dresden;Ja;Nein
Emsländische Eisenbahn GmbH;Bahnhofstr. 41;49716;Meppen;Ja;Ja
ErailS GmbH;Dernburgstraße 55;14057;Berlin;Ja;Nein
ERC.D GmbH;Ulmenstraße 52 f;90443;Nürnberg;Ja;Ja
Erfurter Bahn GmbH;Am Rasenrain 16;99086;Erfurt;Ja;Ja
Erfurter Bahnservice GmbH;Spielbergtor 12d;99099;Erfurt;Ja;Ja
Erfurter Gleisbau GmbH;Binderslebener Landstraße 183;99092;Erfurt;Ja;Nein
erixx GmbH;Biermannstr. 33;29221;Celle;Ja;Ja
Erlebnisbahn GmbH & Co. KG;An Bahnhof Mellensee 3;15838;Mellensee;Nein;Nein
Erms-Neckar-Bahn AG;Pfählerstraße 17;72574;Bad Urach;Nein;Nein
ERS Railways BV;Albert- Plesmanweg 61 B;NL-3088 GB;Rotterdam;Ja;Nein
ESL GmbH Eisenbahn Service Lübbenau;Güterbahnhofstraße 4;03222;Lübbenau/Spreewald;Ja;Ja
ESWE Verkehrsgesellschaft mbH;Gartenfeldstr.18;65189;Wiesbaden;Nein;Nein
EURASIAN RAILWAY CARRIER sp. Z o.o. (vormals Octopus Rail sp. Z o.o.);ul. Antoniego Slonimskiego 1;PL-50-304;Wroclaw;Ja;Nein
eurobahn GmbH & Co. KG;Immermannstraße 65 b;40210;Düsseldorf;Ja;Ja
EuroRail GmbH;Schröbziger Straße 4;06800;Jeßnitz (Anhalt);Ja;Nein
EVS EUREGIO-Verkehrsschienennetz GmbH;Rüst 30;52224;Stolberg;Ja;Ja
EWN Entsorgungswerk für Nuklearanlagen GmbH (vorher: Energiewerke Nord GmbH (EWN));Latzower Straße 1;17509;Rubenow;Nein;Nein
Fahrzeugwerk Karsdorf GmbH & Co. KG;Straße der Einheit 25;06638;Karsdorf;Ja;Ja
Farge-Vegesacker Eisenbahngesellschaft mit beschränkter Haftung;Farger Straße 128;28777;Bremen;Ja;Nein
F.E.G. Friesoyther Eisenbahngesellschaft mbH;Mühlenstraße 12;26169;Friesoythe;Ja;Ja
Fels Netz GmbH;Kalkwerk Hornberg;38875;Elbingerode;Nein;Nein
FKA Fahrzeugkompetenzzentrum Augsburg GmbH;Friedberger Straße 43;86161;Augsburg;Ja;Ja
Flecken Bruchhausen-Vilsen;Lange Str. 11;27305;Bruchhausen-Vilsen;Ja;Ja
Flex Bahndienstleistungen GmbH;Hainstr. 6;04109;Leipzig;Ja;Nein
FlixTrain GmbH;Friedenheimer Brücke 16;80639;München;Ja;Ja
FRACHTbahn Traktion GmbH;EURO PLAZA 4 Am Europlatz 2;A-1120;Wien;Ja;Nein
Fränkische Museums Eisenbahn e.V. Nürnberg;Klingenhofstraße 70;90411;Nürnberg;Ja;Ja
Franz Kassecker GmbH;Egerer Straße 36;95652;Waldsassen;Ja;Ja
Freiberger Eisenbahngesellschaft mbH;Carl-Schiffner-Str. 26;09599;Freiberg;Ja;Ja
Freightliner DE GmbH;Straße am Flugplatz 6a;12487;Berlin;Ja;Ja
GBM Gleisbau Maas GmbH;Rheinlandstraße 1-3;47445;Moers;Ja;Nein
Gemeinde Dornum;Schatthauser Str. 9;26553;Dornum;Nein;Ja
Gemeinde Losheim am See;Merziger Str. 3;66679;Losheim am See;Nein;Nein
Gernsheimer Hafenbetriebs-Gesellschaft mbH;Am Hafen 1;64579;Gernsheim;Ja;Nein
Gesellschaft zur Betreibung der Waldeisenbahn Muskau mbH (WEM);Jahnstr. 53 (Haus A);02943;Weißwasser;Nein;Nein
GET Eisenbahn und Transport GmbH;Neue Hüttenstraße 1;49124;Georgsmarienhütte;Ja;Ja
GfE Gesellschaft für Eisenbahnbetrieb mbH;Horaffenstraße 32;74564;Crailsheim;Ja;Ja
Go-Ahead Baden-Württemberg GmbH;Büchsenstraße 20;70174;Stuttgart;Nein;Ja
Go-Ahead Bayern GmbH;Ludwigstraße 1;86150;Augsburg;Ja;Ja
Go-Ahead Verkehrsgesellschaft Deutschland GmbH;Jean-Monnet-Straße 2;10557;Berlin;Ja;Ja
Görlitzer Oldtimer Parkeisenbahn e. V.;An der Landskronbrauerei;02826;Görlitz;Nein;Nein
Groß Bieberau - Reinheimer Eisenbahn c/o Odenwälder Hartstein-Industrie GmbH;Lise-Meitner-Straße 35;63457;Hanau;Nein;Nein
Gunvor Deutschland GmbH;Despag-Straße 6;85055;Ingolstadt;Ja;Nein
H. Klostermann Baugesellschaft mbH;Auf den Kämpen 16;59071;Hamm-Uentrup;Ja;Nein
Hafen Krefeld GmbH & Co. KG;Kreuzweg 64;47809;Krefeld;Ja;Ja
Häfen und Güterverkehr Köln AG (HGK);Scheidtweilerstr. 4;50933;Köln;Ja;Nein
Hafenbetriebsgesellschaft  m.b.H. Hildesheim;Hafenstraße 20;31137;Hildesheim;Ja;Nein
HAM Rail Port GmbH;Veddeler Damm 36-38;20457;Hamburg;Ja;Nein
Hamburger Rail Service GmbH & Co. KG;An der Strusbek 34;22926;Ahrensburg;Ja;Ja
Hamburg-Köln-Express GmbH;Richmodstraße 6;50667;Köln;Ja;Ja
Hans Kaiser GmbH & Co. KG;Am Weinberg 3 b;36142;Tann/Rhön;Ja;Nein
Hans Strube Gleisbau, Hochbau,Tiefbau GmbH;Breslauer Str. 6a;21244;Buchholz;Ja;Nein
HANSeatische Eisenbahn GmbH;Pritzwalker Straße 8;16949;Putlitz;Nein;Ja
